Date,Open,High,Low,Close,Volume,Adj Close
2016-03-22,4.9,4.96,4.9,4.93,321700,4.594158999999999
2016-03-23,4.93,4.94,4.9,4.91,240400,4.575521
2016-03-24,4.86,4.89,4.86,4.86,334400,4.5289269999999995
2016-03-28,4.87,4.89,4.85,4.86,405000,4.5289269999999995
2016-03-29,4.85,4.93,4.85,4.92,289000,4.58484
2016-03-30,4.94,4.98,4.94,4.95,346400,4.612796
2016-03-31,4.98,5.0,4.96,4.97,502900,4.631434
2016-04-01,4.95,4.98,4.95,4.97,442100,4.631434
2016-04-04,4.97,5.03,4.93,5.03,636900,4.687347
2016-04-05,4.95,4.95,4.88,4.91,463900,4.575521
2016-04-06,4.93,4.98,4.9,4.98,471000,4.640753
2016-04-07,4.96,4.97,4.93,4.97,599300,4.631434
2016-04-08,4.99,5.0,4.94,5.0,350000,4.65939
2016-04-11,5.0,5.01,4.96,4.99,423200,4.650071
2016-04-12,4.98,5.03,4.96,5.02,616600,4.678028
2016-04-13,5.05,5.09,5.01,5.09,979000,4.743258999999999
2016-04-14,5.08,5.11,5.04,5.11,900200,4.761897
2016-04-15,5.09,5.09,5.05,5.07,268800,4.724622
2016-04-18,5.02,5.09,5.02,5.08,552300,4.7339400000000005
2016-04-19,5.12,5.12,5.08,5.12,435400,4.771215
2016-04-20,5.13,5.15,5.1,5.13,393500,4.780533999999999
2016-04-21,5.14,5.14,5.11,5.12,427500,4.771215
2016-04-22,5.12,5.14,5.09,5.14,447500,4.789853
2016-04-25,5.13,5.14,5.09,5.11,455700,4.761897
2016-04-26,5.11,5.14,5.1,5.12,509500,4.771215
2016-04-27,5.0,5.04,5.0,5.03,674400,4.799843
2016-04-28,5.02,5.06,5.0,5.01,856300,4.7807580000000005
2016-04-29,5.03,5.03,4.94,4.99,573300,4.761673
2016-05-02,4.99,5.03,4.98,5.02,437500,4.7903
2016-05-03,5.0,5.0,4.95,4.96,203200,4.733046
2016-05-04,4.94,4.95,4.9,4.91,228000,4.685333999999999
